sepal_len,sepal_wid,index
5.1,3.5,0
4.9,3.0,1
4.7,3.2,2
4.6,3.1,3
5.0,3.6,4
5.4,3.9,5
4.6,3.4,6
5.0,3.4,7
4.4,2.9,8
4.9,3.1,9
5.4,3.7,10
4.8,3.4,11
4.8,3.0,12
4.3,3.0,13
5.8,4.0,14
5.7,4.4,15
5.4,3.9,16
5.1,3.5,17
5.7,3.8,18
5.1,3.8,19
5.4,3.4,20
5.1,3.7,21
4.6,3.6,22
5.1,3.3,23
4.8,3.4,24
5.0,3.0,25
5.0,3.4,26
5.2,3.5,27
5.2,3.4,28
4.7,3.2,29
4.8,3.1,30
5.4,3.4,31
5.2,4.1,32
5.5,4.2,33
4.9,3.1,34
5.0,3.2,35
5.5,3.5,36
4.9,3.6,37
4.4,3.0,38
5.1,3.4,39
5.0,3.5,40
4.5,2.3,41
4.4,3.2,42
5.0,3.5,43
5.1,3.8,44
4.8,3.0,45
5.1,3.8,46
4.6,3.2,47
5.3,3.7,48
5.0,3.3,49
7.0,3.2,50
6.4,3.2,51
6.9,3.1,52
5.5,2.3,53
6.5,2.8,54
5.7,2.8,55
6.3,3.3,56
4.9,2.4,57
6.6,2.9,58
5.2,2.7,59
5.0,2.0,60
5.9,3.0,61
6.0,2.2,62
6.1,2.9,63
5.6,2.9,64
6.7,3.1,65
5.6,3.0,66
5.8,2.7,67
6.2,2.2,68
5.6,2.5,69
5.9,3.2,70
6.1,2.8,71
6.3,2.5,72
6.1,2.8,73
6.4,2.9,74
6.6,3.0,75
6.8,2.8,76
6.7,3.0,77
6.0,2.9,78
5.7,2.6,79
5.5,2.4,80
5.5,2.4,81
5.8,2.7,82
6.0,2.7,83
5.4,3.0,84
6.0,3.4,85
6.7,3.1,86
6.3,2.3,87
5.6,3.0,88
5.5,2.5,89
5.5,2.6,90
6.1,3.0,91
5.8,2.6,92
5.0,2.3,93
5.6,2.7,94
5.7,3.0,95
5.7,2.9,96
6.2,2.9,97
5.1,2.5,98
5.7,2.8,99
6.3,3.3,100
5.8,2.7,101
7.1,3.0,102
6.3,2.9,103
6.5,3.0,104
7.6,3.0,105
4.9,2.5,106
7.3,2.9,107
6.7,2.5,108
7.2,3.6,109
6.5,3.2,110
6.4,2.7,111
6.8,3.0,112
5.7,2.5,113
5.8,2.8,114
6.4,3.2,115
6.5,3.0,116
7.7,3.8,117
7.7,2.6,118
6.0,2.2,119
6.9,3.2,120
5.6,2.8,121
7.7,2.8,122
6.3,2.7,123
6.7,3.3,124
7.2,3.2,125
6.2,2.8,126
6.1,3.0,127
6.4,2.8,128
7.2,3.0,129
7.4,2.8,130
7.9,3.8,131
6.4,2.8,132
6.3,2.8,133
6.1,2.6,134
7.7,3.0,135
6.3,3.4,136
6.4,3.1,137
6.0,3.0,138
6.9,3.1,139
6.7,3.1,140
6.9,3.1,141
5.8,2.7,142
6.8,3.2,143
6.7,3.3,144
6.7,3.0,145
6.3,2.5,146
6.5,3.0,147
6.2,3.4,148
5.9,3.0,149
